14:24:09.622 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mlpt.bulkregistration.BulkRegistrationApplicationTests], using SpringBootContextLoader
14:24:09.628 [main] INFO  org.springframework.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.mlpt.bulkregistration.BulkRegistrationApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
14:24:09.629 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.mlpt.bulkregistration.BulkRegistrationApplicationTests]: BulkRegistrationApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
14:24:09.699 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.mlpt.bulkregistration.BulkRegistrationApplication for test class com.mlpt.bulkregistration.BulkRegistrationApplicationTests
14:24:09.763 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
14:24:09.776 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7d1cfb8b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@48e92c5c, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@2e1ef60, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@22356acd, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@386f0da3, org.springframework.test.context.support.DirtiesContextTestExecutionListener@39655d3e, org.springframework.test.context.transaction.TransactionalTestExecutionListener@34f22f9d, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3d1848cc, org.springframework.test.context.event.EventPublishingTestExecutionListener@7dda48d9, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@6e4566f1, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@4b6e2263, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@344f4dea, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1b7c473a, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5e4bd84a, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@648c94da]
14:24:09.995 [main] INFO  com.mlpt.bulkregistration.BulkRegistrationApplicationTests - Starting BulkRegistrationApplicationTests using Java 1.8.0_311 on HENDRO-E14 with PID 26948 (started by hendro.susanto in d:\BBA Bulk Registration Project\bulk-registration)
14:24:09.997 [main] INFO  com.mlpt.bulkregistration.BulkRegistrationApplicationTests - No active profile set, falling back to 1 default profile: "default"
14:24:10.527 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
14:24:10.595 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 58 ms. Found 3 JPA repository interfaces.
14:24:11.078 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
14:24:11.115 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.5.Final
14:24:11.239 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
14:24:11.581 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
14:24:11.766 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
14:24:11.780 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
